recipe_id,ingredient_id,quantity
95222,6696,1/8  cup
95222,4053,1   tablespoon
95222,3248,1/4  teaspoon
95222,3219,1/8  teaspoon
77397,63,2   cups
77397,6906,1 1/4  cups
77397,4717,1 1/4  cups
77397,7449,1 -2   teaspoon
77397,332,3   teaspoons
77397,6270,1   pinch
77397,2499,1   large
77397,800,
77397,1511,
77397,840,
77397,7642,
87782,5648,8   large
87782,3203,4
87782,5006,1/2  cup
87782,7655,1   cup
87782,2320,1   tablespoon
87782,4231,1   large
87782,6352,
87782,2780,
29679,3324,1 1/2  cups
29679,1689,
29679,5261,1 1/2  cups
29679,840,1   cup
29679,4722,1 (12   ounce) bag
141983,6962,3   tablespoons
141983,5006,2   tablespoons
141983,3203,2
141983,3668,2   cups
141983,7774,1/4  teaspoon
141983,5180,1/2  cup   grated
141983,4836,3/4  cup   grated
141983,132,1 (12   ounce) box
141983,5185,2   tablespoons   chopped
141983,1867,freshly
28768,4189,1 1/2  lbs
28768,6324,
28768,5010,1   large
28768,3203,2 -3
28768,6270,1   teaspoon
28768,2780,1   teaspoon
28768,2325,1   tablespoon
28768,2320,1   tablespoon
28768,2212,1   tablespoon
28768,7863,2 (14 1/2  ounce) cans
28768,6085,24   ounces
28768,2499,2
28768,5319,1/2  teaspoon
28768,5185,2   tablespoons
28768,5180,1/2  cup   grated
28768,4836,1   lb
28768,4155,12 -15
73166,4987,2   teaspoons
73166,5010,2
73166,3184,3   cloves
73166,4189,1   lb
73166,478,3/4  lb
73166,2131,1 (14 1/2  ounce) can
73166,2044,1   can
73166,6891,1   cup
73166,7229,2 (6   ounce) cans
73166,437,1   can
73166,800,1/2  cup
73166,1330,3 1/2  tablespoons
73166,2007,1   tablespoon
73166,1584,1   tablespoon
73166,5106,1   teaspoon
73166,1118,1   teaspoon
73166,1795,1   teaspoon
73166,6270,1   teaspoon
73166,4062,4 (15   ounce) cans
73166,1326,4
37336,1254,4
37336,4623,1   cup
37336,5180,1/2  cup
37336,6374,1/2  teaspoon
37336,3486,1/2  teaspoon
37336,3217,1   teaspoon
150384,840,1   tablespoon   melted
150384,5010,1/2  medium   chopped
150384,2683,1/4  cup   melted
150384,3590,1/4  cup
150384,1297,2   cups
150384,2765,2   cups
150384,1093,1/2  lb
150384,4964,1   cup
150384,1168,1/4  teaspoon
150384,6276,8   ounces   grated
150384,1990,
150384,7853,
60350,2518,16   ounces
60350,840,1/4  cup
60350,63,1/4  cup
60350,6270,1/2  teaspoon
60350,590,1   dash
